x,y,label
-2.499108,-4.8678155,Arthropoda
-7.184557,4.181704,Arthropoda
-7.165162,4.162113,Arthropoda
-2.5263798,-4.8159356,Arthropoda
-2.4891593,-4.9042525,Arthropoda
-7.214106,4.2112274,Arthropoda
-7.181579,4.1785502,Arthropoda
-7.2006435,4.19785,Arthropoda
-2.5978098,-4.9621854,Arthropoda
-2.6717343,-4.9394207,Arthropoda
-2.681984,-4.9490867,Arthropoda
-2.3598979,-4.8301153,Arthropoda
-1.8475305,-4.84834,Arthropoda
-1.9207736,-4.9374857,Arthropoda
-1.8481185,-4.787035,Arthropoda
-1.9425727,-4.8318357,Arthropoda
-1.960095,-4.8590193,Arthropoda
-2.5182521,-4.8325815,Arthropoda
-2.6697268,-4.912787,Arthropoda
-2.1250908,-4.7768373,Arthropoda
-2.610407,-4.9124346,Arthropoda
-2.3978722,-4.9241323,Arthropoda
-2.267509,-4.9039807,Arthropoda
-2.4968514,-4.9043636,Arthropoda
-6.1483006,-38.8572,Arthropoda
-5.9932485,-39.07525,Arthropoda
-6.0667343,-39.05636,Arthropoda
-7.3777595,-41.509903,Arthropoda
-7.1980023,-41.768196,Arthropoda
-7.0293865,-41.56853,Arthropoda
-6.0535,-38.885487,Arthropoda
-7.1084666,-41.575626,Arthropoda
-7.1935186,-41.791313,Arthropoda
-7.0258217,-41.602325,Arthropoda
-7.4357214,-41.806583,Arthropoda
-7.8175664,-41.334904,Arthropoda
-7.051179,-41.594765,Arthropoda
-2.475267,-4.862151,Arthropoda
-7.109934,-41.609196,Arthropoda
-7.229483,-41.708332,Arthropoda
-7.058332,-41.751076,Arthropoda
-6.1378684,-38.908833,Arthropoda
-7.145463,-41.566658,Arthropoda
-7.177543,-41.782852,Arthropoda
-7.101468,-41.830162,Arthropoda
-7.1916695,-41.663773,Arthropoda
-7.2962275,-41.659092,Arthropoda
-7.211,-41.43101,Arthropoda
-7.299003,-41.645428,Arthropoda
-7.247362,-41.69639,Arthropoda
-6.9932346,-41.670773,Arthropoda
-7.2567554,-41.187878,Arthropoda
-7.1917324,-41.663883,Arthropoda
-7.375552,-41.70993,Arthropoda
-6.1585155,-39.227367,Arthropoda
-7.124503,-41.641163,Arthropoda
-6.975651,-41.73609,Arthropoda
-7.292675,-41.527927,Arthropoda
-7.867176,-41.43743,Arthropoda
-7.071916,-41.65905,Arthropoda
-7.042112,-41.546146,Arthropoda
-2.6290102,-4.927365,Arthropoda
-7.2443852,-41.83054,Arthropoda
-7.1997194,-41.642017,Arthropoda
-6.1271033,-38.97324,Arthropoda
-7.2744493,-41.826683,Arthropoda
-7.1423306,-41.847584,Arthropoda
-7.793682,-41.37766,Arthropoda
-6.1128855,-38.902454,Arthropoda
-7.0744405,-41.796825,Arthropoda
-7.3002033,-41.803936,Arthropoda
-7.2604747,-41.838615,Arthropoda
-7.038242,-41.477085,Arthropoda
-7.327406,-41.74919,Arthropoda
-6.19187,-38.836143,Arthropoda
-7.235886,-41.57469,Arthropoda
-7.318438,-41.84964,Arthropoda
-7.1355677,-41.43057,Arthropoda
-6.8838987,-41.60141,Arthropoda
-7.3552003,-41.59716,Arthropoda
-7.1918674,-41.838406,Arthropoda
-7.347397,-41.845943,Arthropoda
-6.9873595,-41.651405,Arthropoda
-6.8945336,-41.61999,Arthropoda
-6.890689,-41.44945,Arthropoda
-7.280853,-41.8102,Arthropoda
-7.259643,-41.4379,Arthropoda
-7.4322863,-41.401966,Arthropoda
-7.2813587,-42.012836,Arthropoda
-7.285458,-41.256405,Arthropoda
-5.989036,-39.052113,Arthropoda
-7.5227685,-41.56118,Arthropoda
-6.896397,-41.631714,Arthropoda
-7.512476,-41.837326,Arthropoda
-7.0763874,-41.874565,Arthropoda
-7.3284273,-41.446045,Arthropoda
-6.912756,-41.53683,Arthropoda
-6.9591384,-41.959637,Arthropoda
-7.1228914,-41.84151,Arthropoda
-7.3598824,-41.26437,Arthropoda
-6.760256,-41.63005,Arthropoda
-7.4800963,-41.484592,Arthropoda
-6.204884,-38.829594,Arthropoda
-7.436708,-41.86414,Arthropoda
-6.0368657,-38.996994,Arthropoda
-7.9307585,-41.559727,Arthropoda
-6.8719974,-41.71248,Arthropoda
-7.0536537,-41.97166,Arthropoda
-7.186513,-41.64989,Arthropoda
-6.918667,-41.563972,Arthropoda
-7.027176,-41.470726,Arthropoda
-7.217822,-41.254208,Arthropoda
-7.519154,-41.942917,Arthropoda
-6.8825107,-41.36997,Arthropoda
-7.008521,-41.903034,Arthropoda
-7.42473,-41.48039,Arthropoda
-6.984015,-41.21507,Arthropoda
-6.950055,-41.474586,Arthropoda
-7.3268085,-41.69861,Arthropoda
-6.7991376,-41.363564,Arthropoda
-5.9854646,-38.917114,Arthropoda
-5.9190865,-38.966118,Arthropoda
-6.119102,-38.881966,Arthropoda
-6.7794294,-41.988632,Arthropoda
-7.9780526,-41.498062,Arthropoda
-6.7427115,-41.791767,Arthropoda
-7.941461,-41.497192,Arthropoda
-7.910543,-41.48094,Arthropoda
-6.0566797,-39.07493,Arthropoda
-7.961394,-41.574726,Arthropoda
-7.145006,-41.96972,Arthropoda
-7.9075317,-41.52533,Arthropoda
-7.1507096,-42.015358,Arthropoda
16.052872,-15.579517,Porifera
16.472738,-15.659506,Porifera
16.476984,-15.64913,Porifera
16.440023,-15.802412,Porifera
16.439322,-15.820739,Porifera
16.323978,-15.255148,Porifera
16.300573,-15.420552,Porifera
16.206379,-15.421676,Porifera
14.086058,-14.161086,Porifera
14.0129,-13.107385,Porifera
14.18213,-13.152547,Porifera
14.709556,-13.476683,Porifera
14.318016,-13.797541,Porifera
15.104871,-13.828974,Porifera
14.790619,-13.517684,Porifera
14.005857,-13.099959,Porifera
13.914324,-13.270875,Porifera
14.441957,-14.191947,Porifera
14.036682,-13.650512,Porifera
15.145058,-13.653704,Porifera
14.295591,-14.274281,Porifera
14.5241995,-14.039865,Porifera
14.249354,-12.883295,Porifera
14.01469,-13.284212,Porifera
14.211193,-14.281556,Porifera
14.948208,-12.900055,Porifera
15.59826,-13.497304,Porifera
14.760144,-13.554641,Porifera
13.878853,-13.380169,Porifera
14.330039,-14.371535,Porifera
15.151929,-13.469534,Porifera
13.864647,-13.535868,Porifera
9.957233,-8.065514,Porifera
9.983727,-8.077298,Porifera
9.808102,-8.723804,Porifera
9.808127,-8.699558,Porifera
15.235575,-13.722243,Porifera
9.882019,-8.085994,Porifera
9.902011,-8.094771,Porifera
9.729155,-8.261764,Porifera
9.82556,-8.110357,Porifera
9.732497,-8.25627,Porifera
9.778143,-8.546571,Porifera
14.183169,-13.062043,Porifera
9.803395,-8.662781,Porifera
10.039463,-8.272314,Porifera
10.037448,-8.438611,Porifera
9.764107,-8.51132,Porifera
9.742421,-8.396613,Porifera
10.061533,-8.166081,Porifera
9.968754,-8.176934,Porifera
9.978881,-8.103561,Porifera
9.958845,-8.095635,Porifera
9.685811,-8.390119,Porifera
9.698441,-8.364994,Porifera
9.798187,-8.206422,Porifera
9.745543,-8.2450485,Porifera
9.884125,-8.619778,Porifera
9.87852,-8.616837,Porifera
9.911171,-8.658958,Porifera
9.8254595,-8.134621,Porifera
9.860266,-8.14746,Porifera
9.747026,-8.184652,Porifera
9.85404,-8.13373,Porifera
15.849409,-15.654326,Porifera
15.62515,-13.847431,Porifera
15.675799,-14.031225,Porifera
15.744014,-13.962041,Porifera
15.674209,-13.640056,Porifera
15.374203,-13.435679,Porifera
15.589884,-13.621065,Porifera
15.622797,-13.4714575,Porifera
15.270845,-12.990416,Porifera
14.350649,-13.457412,Porifera
14.519167,-13.534205,Porifera
13.806979,-13.819235,Porifera
15.892887,-15.159945,Porifera
14.088418,-13.641902,Porifera
14.377088,-13.694491,Porifera
15.762295,-14.032563,Porifera
16.02869,-14.991663,Porifera
14.417109,-14.338891,Porifera
15.683086,-13.466298,Porifera
14.592749,-13.925124,Porifera
15.691695,-13.500942,Porifera
15.94007,-14.944031,Porifera
14.371911,-14.329122,Porifera
15.448997,-13.719451,Porifera
15.084318,-12.791784,Porifera
14.093329,-14.028744,Porifera
16.013182,-14.974364,Porifera
15.662209,-13.399441,Porifera
14.705467,-14.231067,Porifera
15.669714,-13.680185,Porifera
15.712096,-13.472488,Porifera
15.868663,-14.441807,Porifera
15.723134,-13.525312,Porifera
14.528095,-12.977414,Porifera
14.031911,-13.8367405,Porifera
15.66396,-13.441305,Porifera
15.604221,-13.431397,Porifera
13.834511,-13.423087,Porifera
15.762837,-14.195823,Porifera
15.641993,-15.401681,Porifera
13.934718,-13.563618,Porifera
15.77655,-14.199425,Porifera
14.228531,-14.280698,Porifera
15.796274,-14.2303505,Porifera
15.82849,-14.21772,Porifera
14.245286,-14.076978,Porifera
15.84196,-14.265556,Porifera
15.842143,-14.248727,Porifera
15.816241,-14.216922,Porifera
15.852082,-14.279999,Porifera
9.786786,-8.299256,Porifera
13.903948,-13.609555,Porifera
15.498517,-13.377399,Porifera
14.170471,-14.369302,Porifera
15.059576,-13.545493,Porifera
15.770703,-13.613552,Porifera
14.293002,-14.411776,Porifera
14.48036,-14.237609,Porifera
14.908562,-12.7761755,Porifera
15.873799,-14.756433,Porifera
15.770618,-13.644774,Porifera
15.903029,-14.303041,Porifera
14.855299,-14.206372,Porifera
14.533858,-13.259286,Porifera
14.12154,-14.003492,Porifera
14.211684,-13.894951,Porifera
15.249225,-13.389482,Porifera
14.911399,-12.549416,Porifera
14.889249,-12.570839,Porifera
14.955403,-12.507891,Porifera
14.904636,-12.576825,Porifera
14.881956,-12.576905,Porifera
14.915475,-12.537909,Porifera
14.934629,-12.526548,Porifera
14.93901,-12.531911,Porifera
14.916139,-12.584379,Porifera
14.008659,-13.124974,Porifera
9.931318,-8.1149645,Porifera
14.624015,-13.341584,Porifera
16.182138,-15.988909,Porifera
14.433909,-14.442186,Porifera
14.035589,-13.073189,Porifera
14.3836565,-14.109269,Porifera
14.111326,-13.948528,Porifera
10.117792,-8.10483,Porifera
13.946137,-13.037907,Porifera
10.003358,-8.053526,Porifera
13.919938,-13.254901,Porifera
9.944937,-8.586936,Porifera
13.740417,-13.812562,Porifera
13.775148,-13.793711,Porifera
13.816829,-13.719773,Porifera
15.562166,-14.672905,Porifera
14.110899,-14.014033,Porifera
13.689756,-13.8773155,Porifera
15.911606,-15.449349,Porifera
15.866385,-15.448726,Porifera
13.707274,-13.891101,Porifera
15.857289,-15.549712,Porifera
15.964004,-15.650557,Porifera
15.944391,-15.530813,Porifera
14.050213,-13.062029,Porifera
14.090767,-13.053033,Porifera
13.929676,-13.1816,Porifera
14.136059,-13.00932,Porifera
15.95679,-15.868251,Porifera
16.204363,-15.300308,Porifera
16.010035,-15.878859,Porifera
16.227446,-15.969863,Porifera
16.40423,-15.904978,Porifera
16.193857,-15.920112,Porifera
16.468876,-15.813578,Porifera
16.17968,-15.137966,Porifera
16.222874,-15.921469,Porifera
16.308212,-15.574805,Porifera
16.247496,-15.351338,Porifera
14.081532,-13.298139,Porifera
16.305378,-15.368514,Porifera
15.981484,-15.860793,Porifera
15.954522,-15.830068,Porifera
16.49065,-15.765443,Porifera
16.31808,-15.763025,Porifera
16.537552,-15.802948,Porifera
16.255934,-15.481666,Porifera
16.427464,-15.977726,Porifera
16.378214,-15.983447,Porifera
16.223368,-15.4480505,Porifera
16.01094,-15.835494,Porifera
